language,plotting_data
South Tairora,
North Tairora,
Awiyaana,11000.0
Usarufa,1300.0
Oweina,640.0
Awa,2100.0
Gadsup,25000.0
Agarabi,27000.0
Gende,3000.0
Isabi,280.0
Gimi (Eastern Highlands),23000.0
Fore,30000.0
Dano,30000.0
Tokano,6000.0
Alekano,25000.0
Siane,29000.0
Yaweyuha,2000.0
Benabena,45000.0
Yagaria,38000.0
Kanite,9300.0
Keyagana,12000.0
Kamano,63000.0
Inoke-Yate,10000.0
Abaga,5.0
Kenati,1000.0
Mandobo Bawah,
Oksapmin,8000.0
Ngalum,18000.0
Mian,1750.0
Suganga,680.0
Bimin,2000.0
Telefol,4500.0
Urapmin,370.0
Tifal,3600.0
Faiwol,4500.0
Setaman,381.0
Ninggerum,6150.0
Yonggom,4000.0
South Muyu,4000.0
Maring,11000.0
Narak,6200.0
Kandawo,4000.0
Umbu-Ungu,
Imbongu,
Bo-Ung,41000.0
Melpa,130000.0
Golin,50000.0
Sinasina,21000.0
Salt-Yui,6500.0
Kuman,120000.0
Dom,16000.0
Nomane,6700.0
Chuave,26000.0
Wahgi,86000.0
Nii,12000.0
North Wahgi,
Huli,150000.0
Samberigi,3130.0
West Kewa,
Erave,
East Kewa,
Angal Heneng,
Angal,
Angal Enen,
Enga,230000.0
Lembena,1800.0
Kyaka,15000.0
Ipili,26000.0
Nete,1000.0
Bisorio,200.0
Biyom,650.0
Tauya,350.0
Dumpu,1.0
Kou,500.0
Asas,500.0
Sausi,93.0
Kesawai,700.0
Wasembo,830.0
Bai-Maclay,120.0
Dumun,40.0
Yabong,1500.0
Saep,550.0
Ganglau,470.0
Pulabu,120.0
Kolom,470.0
Siroi,1300.0
Arawum,73.0
Lemio,270.0
Sumau,2600.0
Sop,2300.0
Danaru,260.0
Urigina,1500.0
Kwato,780.0
Duduela,1000.0
Yangulam,400.0
Uya,270.0
Ogea,2200.0
Sgi Bara,650.0
Rerau,590.0
Anjam,2000.0
Bongu,850.0
Male,970.0
Sam,700.0
Yamben,
Amaimon,1800.0
Bargam,4000.0
Pal,1200.0
Kobol,720.0
Kare,380.0
Saruga,130.0
Bagupi,58.0
Mawan,470.0
Utu,1010.0
Silopi,180.0
Murupi,300.0
Samosa,90.0
Wamas,220.0
Mosimo,50.0
Nobonob,5000.0
Gal,340.0
Wagi,3400.0
Baimak,650.0
Rempi,1600.0
Garus,2700.0
Yoidik,770.0
Rapting,330.0
Matepi,280.0
Nake,170.0
Sihan (Gum),570.0
Amele,5300.0
Gumalu,580.0
Bau,3200.0
Panim,12.0
Isebe,1200.0
Munit,910.0
Kein,1800.0
Girawa,3600.0
Gavak,3800.0
Yarawata,130.0
Parawen,430.0
Ukuriguma,170.0
Usan,1400.0
Karen,18.0
Yaben,1090.0
Mala,1400.0
Maiani,3000.0
Maia,4400.0
Miani,
Barem,1.0
Manep,650.0
Mokati,590.0
Pamosu,1800.0
Mawak,25.0
Hember Avu,1500.0
Kowaki,30.0
Mauwake,2400.0
Bepour,18.0
