language_ID,language,latitude,longitude,links,speaker_number_raw,speaker_number_numeric,speaker_number_type,vitality_status,vitality_certainty,speaker_number_year,speaker_source,source_category,source_type,access_route,source_confidence,source_urls
wamp1248,Wampur,-6.33644,146.126,"[{'url': 'https://www.wikidata.org/entity/Q7966957', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Wampur_language', 'label': None}]",,,,extinct,,,wikipedia.org,tertiary,community-curated,direct,0.45,['https://en.wikipedia.org/wiki/Wampur_language']
mari1429,Mari (Madang Province),-5.97399,145.828,"[{'url': 'https://www.wikidata.org/entity/Q6760941', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Mari_language_(Madang_Province)', 'label': None}]",,,,extinct,,,wikipedia.org,tertiary,community-curated,direct,0.45,['https://en.wikipedia.org/wiki/Mari_language_(Madang_Province)']
sara1323,Sarasira,-6.18,146.4,"[{'url': 'https://www.wikidata.org/entity/Q57333197', 'label': None}]",,,,,,,,,,,,[]
suku1264,Sukurum,-6.28,146.34187,"[{'url': 'https://www.wikidata.org/entity/Q57333741', 'label': None}]",,,,,,,,,,,,[]
kela1255,Kela,-7.47103,147.173,"[{'url': 'https://www.wikidata.org/entity/Q6349982', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Kala_language', 'label': None}, {'url': 'https://phoible.org/languages/kela1255', 'label': None}, {'url': 'https://wals.info/languoid/lect/wals_code_kap', 'label': 'Kela (Apoze)'}]",,,,extinct,,,wikipedia.org,tertiary,community-curated,direct,0.45,['https://en.wikipedia.org/wiki/Kala_language']
buga1250,Bugawac,-6.67519,147.32,"[{'url': 'https://www.endangeredlanguages.com/elp-language/3987', 'label': 'Bugawac'}, {'url': 'https://grambank.clld.org/languages/buga1250', 'label': 'Bugawac'}, {'url': 'https://en.wikipedia.org/wiki/Bukawa_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q35043', 'label': None}]","9,690",,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/3987']
yabe1254,Yabem,-6.67052,147.81,"[{'url': 'https://wals.info/languoid/lect/wals_code_jab', 'label': 'Jabêm'}, {'url': 'https://grambank.clld.org/languages/yabe1254', 'label': 'Yabem'}, {'url': 'https://lexibank.clld.org/languages/abvdoceanic-Yabem', 'label': 'Yabem'}, {'url': 'https://en.wikipedia.org/wiki/Yabem_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q3571232', 'label': None}]",,,,extinct,,,wikipedia.org,tertiary,community-curated,direct,0.45,['https://en.wikipedia.org/wiki/Yabem_language']
iwal1237,Iwal,-7.20938,146.983,"[{'url': 'https://grambank.clld.org/languages/iwal1237', 'label': 'Iwal'}, {'url': 'https://en.wikipedia.org/wiki/Iwal_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q3156391', 'label': None}]",,,,extinct,,,wikipedia.org,tertiary,community-curated,direct,0.45,['https://en.wikipedia.org/wiki/Iwal_language']
yama1260,Yamap,-7.05687,146.817,"[{'url': 'https://www.wikidata.org/entity/Q8047913', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Yamap_language', 'label': None}]",,,,extinct,,,wikipedia.org,tertiary,community-curated,direct,0.45,['https://en.wikipedia.org/wiki/Yamap_language']
hote1245,Hote,-7.07708,146.869,"[{'url': 'https://grambank.clld.org/languages/hote1245', 'label': 'Hote'}, {'url': 'https://lexibank.clld.org/languages/abvdoceanic-HoteMisimdialect', 'label': 'Hote (Misim dialect)'}, {'url': 'https://en.wikipedia.org/wiki/Hote_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q12632404', 'label': None}]",,,,extinct,,,wikipedia.org,tertiary,community-curated,direct,0.45,['https://en.wikipedia.org/wiki/Hote_language']
