language_ID,language,latitude,longitude,links,speaker_number_raw,speaker_number_numeric,speaker_number_type,speaker_number_min,speaker_number_max,vitality_status,vitality_certainty,speaker_number_year,speaker_source,source_category,source_type,access_route,source_confidence,source_urls,plotting_data,bar_chart_tooltip_value
anem1249,Anem,-5.54836,148.993,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10806', 'label': 'Anem'}, {'url': 'https://grambank.clld.org/languages/anem1249', 'label': 'Anem'}, {'url': 'https://wals.info/languoid/lect/wals_code_ane', 'label': 'Anêm'}, {'url': 'https://en.wikipedia.org/wiki/An%C3%AAm_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q56512', 'label': None}]",843,843.0,exact,843.0,843.0,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.75,['https://www.endangeredlanguages.com/elp-language/10806'],843.0,843.0
wiru1244,Wiru,-6.35863,144.214,"[{'url': 'https://www.endangeredlanguages.com/elp-language/5177', 'label': 'Wiru'}, {'url': 'https://grambank.clld.org/languages/wiru1244', 'label': 'Wiru'}, {'url': 'https://lexibank.clld.org/languages/transnewguineaorg-wiru', 'label': 'Wiru'}, {'url': 'https://en.wikipedia.org/wiki/Wiru_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q8027044', 'label': None}]","15,300",15300.0,exact,15300.0,15300.0,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.75,['https://www.endangeredlanguages.com/elp-language/5177'],15300.0,15300.0
tabo1241,Tabo,-8.09387,143.305,"[{'url': 'https://www.endangeredlanguages.com/elp-language/6674', 'label': 'Tabo'}, {'url': 'https://grambank.clld.org/languages/tabo1241', 'label': 'Tabo'}, {'url': 'https://en.wikipedia.org/wiki/Tabo_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q7959888', 'label': None}]",3000,3000.0,exact,3000.0,3000.0,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.75,['https://www.endangeredlanguages.com/elp-language/6674'],3000.0,3000.0
kara1497,Karami,-7.13333,143.117,"[{'url': 'https://www.wikidata.org/entity/Q11732281', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Karami_language', 'label': None}]",,,,,,extinct,,,wikipedia.org,tertiary,community-curated,direct,0.45,['https://en.wikipedia.org/wiki/Karami_language'],4.5,extinct
boga1247,Bogaya,-5.54487,142.255,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10743', 'label': 'Bogaya'}, {'url': 'https://lexibank.clld.org/languages/transnewguineaorg-bogaya', 'label': 'Bogaya'}, {'url': 'https://en.wikipedia.org/wiki/Pogaya_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q7207578', 'label': None}]",300,300.0,exact,300.0,300.0,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.75,['https://www.endangeredlanguages.com/elp-language/10743'],300.0,300.0
fuyu1242,Fuyug,-8.6371,147.312,"[{'url': 'https://grambank.clld.org/languages/fuyu1242', 'label': 'Fuyug'}, {'url': 'https://lexibank.clld.org/languages/transnewguineaorg-fuyug', 'label': 'Fuyug'}, {'url': 'https://en.wikipedia.org/wiki/Fuyug_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q3073472', 'label': None}]","14,000 (2003)[1]",14000.0,exact,14000.0,14000.0,,,2003,wikipedia.org,tertiary,community-curated,direct,0.38,['https://en.wikipedia.org/wiki/Fuyug_language'],14000.0,14000.0
kuot1243,Kuot,-3.06952,151.537,"[{'url': 'https://www.endangeredlanguages.com/elp-language/2229', 'label': 'Kuot'}, {'url': 'https://grambank.clld.org/languages/kuot1243', 'label': 'Kuot'}, {'url': 'https://lexibank.clld.org/languages/johanssonsoundsymbolic-Kuot', 'label': 'Kuot'}, {'url': 'https://lexibank.clld.org/languages/transnewguineaorg-kuot', 'label': 'Kuot'}, {'url': 'https://wals.info/languoid/lect/wals_code_kuo', 'label': 'Kuot'}, {'url': 'https://en.wikipedia.org/wiki/Kuot_language', 'label': None}, {'url': 'https://phoible.org/languages/kuot1243', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q56537', 'label': None}]","~1,000",1000.0,estimate,560.0,1440.0,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.56,['https://www.endangeredlanguages.com/elp-language/2229'],1000.0,"~1,000"
taia1239,Taiap,-4.05047,144.506,"[{'url': 'https://www.endangeredlanguages.com/elp-language/2216', 'label': 'Taiap'}, {'url': 'https://grambank.clld.org/languages/taia1239', 'label': 'Taiap'}, {'url': 'https://wals.info/languoid/lect/wals_code_tap', 'label': 'Taiap'}, {'url': 'https://en.wikipedia.org/wiki/Tayap_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q56237', 'label': None}]",75,75.0,exact,75.0,75.0,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.75,['https://www.endangeredlanguages.com/elp-language/2216'],75.0,75.0
suar1238,Asabano,-4.95072,141.978,"[{'url': 'https://www.endangeredlanguages.com/elp-language/2687', 'label': 'Asaba'}, {'url': 'https://www.wikidata.org/entity/Q7630513', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Suarmin_language', 'label': None}]",145,145.0,exact,145.0,145.0,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.75,['https://www.endangeredlanguages.com/elp-language/2687'],145.0,145.0
papi1255,Papi,-4.4725,142.011,"[{'url': 'https://www.endangeredlanguages.com/elp-language/2645', 'label': 'Papi'}, {'url': 'https://www.wikidata.org/entity/Q7132809', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Papi_language', 'label': None}]",75,75.0,exact,75.0,75.0,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.75,['https://www.endangeredlanguages.com/elp-language/2645'],75.0,75.0
yale1246,Yale,-3.79762,141.566,"[{'url': 'https://wals.info/languoid/lect/wals_code_nag', 'label': 'Nagatman'}, {'url': 'https://grambank.clld.org/languages/yale1246', 'label': 'Yale'}, {'url': 'https://www.endangeredlanguages.com/elp-language/10682', 'label': 'Yalë'}, {'url': 'https://en.wikipedia.org/wiki/Yal%C3%AB_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q2992915', 'label': None}]",600,600.0,exact,600.0,600.0,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.75,['https://www.endangeredlanguages.com/elp-language/10682'],600.0,600.0
pele1245,Pele-Ata,-5.58045,151.05,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10807', 'label': 'Pele-Ata'}, {'url': 'https://grambank.clld.org/languages/pele1245', 'label': 'Pele-Ata'}, {'url': 'https://lexibank.clld.org/languages/johanssonsoundsymbolic-PeleAta', 'label': 'Pele-Ata'}, {'url': 'https://en.wikipedia.org/wiki/Ata_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q56511', 'label': None}]","~2,000",2000.0,estimate,1120.0,2880.0,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.56,['https://www.endangeredlanguages.com/elp-language/10807'],2000.0,"~2,000"
duna1248,Duna,-5.41439,142.475,"[{'url': 'https://grambank.clld.org/languages/duna1248', 'label': 'Duna'}, {'url': 'https://lexibank.clld.org/languages/transnewguineaorg-duna', 'label': 'Duna'}, {'url': 'https://wals.info/languoid/lect/wals_code_dun', 'label': 'Duna'}, {'url': 'https://en.wikipedia.org/wiki/Duna_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q5314039', 'label': None}]","25,000 (2002)[1]",25000.0,exact,25000.0,25000.0,,,2002,wikipedia.org,tertiary,community-curated,direct,0.38,['https://en.wikipedia.org/wiki/Duna_language'],25000.0,25000.0
